name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,big_mac_index,inflation_rate
Britain,GBR,GBP,1.9,0.632911392,28733.206,17755.606,2000-04-01,,
Britain,GBR,GBP,1.99,0.699300699,28279.663,18654.689,2001-04-01,4.736842105,1.5
Britain,GBR,GBP,1.99,0.689655172,27816.748,19319.321,2002-04-01,0,1.6
Britain,GBR,GBP,1.99,0.632911392,30099.602,20050.803,2003-04-01,0,1.5
Britain,GBR,GBP,1.88,0.558659218,34524.996,21127.32,2004-05-01,-5.527638191,1.4
Britain,GBR,GBP,1.88,0.546448087,40415.48,22064.971,2005-06-01,0,2
Britain,GBR,GBP,1.94,0.531801744,42171.202,23168.126,2006-05-01,3.191489362,2.4
Britain,GBR,GBP,1.99,0.496610632,44731.564,24277.41,2007-06-01,2.577319588,2.5
Britain,GBR,GBP,2.29,0.501039657,50675.532,25317.928,2008-06-01,15.07537688,3.7
Britain,GBR,GBP,2.29,0.620886626,48038.966,25859.731,2009-07-01,0,1.6
Britain,GBR,GBP,2.29,0.657375756,39101.208,25009.557,2010-07-01,0,2.3
Britain,GBR,GBP,2.39,0.614137444,39731.624,25688.257,2011-07-01,4.366812227,3.8
Britain,GBR,GBP,2.69,0.646266197,42281.87,26380.801,2012-07-01,12.55230126,2.4
Britain,GBR,GBP,2.69,0.669142494,42691.188,27020.721,2013-07-01,0,2.5
Britain,GBR,GBP,2.89,0.586785589,43757.447,27971.719,2014-07-01,7.434944238,1.6
Britain,GBR,GBP,2.89,0.640450877,47816.045,29044.104,2015-07-01,0,0.5
Britain,GBR,GBP,2.99,0.758840492,45418.935,29722.193,2016-07-01,3.460207612,0.9
Britain,GBR,GBP,3.19,0.775885479,41630.457,30718.956,2017-07-01,6.688963211,2.6
Britain,GBR,GBP,3.19,0.753863551,40903.517,31755.648,2018-07-01,0,2.3
Britain,GBR,GBP,3.29,0.802181935,43718.965,32728.942,2019-07-09,3.134796238,2
Britain,GBR,GBP,3.39,0.79255003,43121.056,33763.238,2020-07-01,3.039513678,1.1
Britain,GBR,GBP,3.49,0.734672887,41127.443,32056.484,2021-07-01,2.949852507,2.1
Britain,GBR,GBP,3.69,0.83108,47202.581,34311.091,2022-07-01,5.730659026,8.8
